release_date,time,actual,forcast,previous,year_,month_
"Aug 01, 2005 (Jul)",13:30,0.60%, ,0.10%,2005,7
"Jul 01, 2005 (Jun)",13:30,0.10%, ,-0.10%,2005,6
"Jun 01, 2005 (May)",13:30,-0.10%, ,0.30%,2005,5
"May 01, 2005 (Apr)",13:30,0.30%, ,0.40%,2005,4
"Apr 01, 2005 (Mar)",13:30,0.40%, ,0.40%,2005,3
"Mar 01, 2005 (Feb)",13:30,0.40%, ,-0.10%,2005,2
"Feb 01, 2005 (Jan)",13:30,-0.10%, ,0.00%,2005,1
"Jan 01, 2005 (Dec)",13:30,0.00%, ,0.50%,2004,12
"Dec 01, 2004 (Nov)",13:30,0.50%, ,0.50%,2004,11
"Nov 01, 2004 (Oct)",13:30,0.50%, ,0.30%,2004,10
"Oct 01, 2004 (Sep)",13:30,0.30%, ,0.10%,2004,9
"Sep 01, 2004 (Aug)",13:30,0.10%, ,0.10%,2004,8
"Aug 01, 2004 (Jul)",13:30,0.10%, ,0.40%,2004,7
"Jul 01, 2004 (Jun)",13:30,0.40%, ,0.40%,2004,6
"Jun 01, 2004 (May)",13:30,0.40%, ,0.20%,2004,5
"May 01, 2004 (Apr)",13:30,0.20%, ,0.20%,2004,4
"Apr 01, 2004 (Mar)",13:30,0.20%, ,0.20%,2004,3
"Mar 01, 2004 (Feb)",13:30,0.20%, ,0.40%,2004,2
"Feb 01, 2004 (Jan)",13:30,0.40%, ,0.30%,2004,1
"Jan 01, 2004 (Dec)",13:30,0.30%, ,0.10%,2003,12
"Dec 01, 2003 (Nov)",13:30,0.10%, ,-0.10%,2003,11
"Nov 01, 2003 (Oct)",13:30,-0.10%, ,0.30%,2003,10
"Oct 01, 2003 (Sep)",13:30,0.30%, ,0.40%,2003,9
"Sep 01, 2003 (Aug)",13:30,0.40%, ,0.30%,2003,8
"Aug 01, 2003 (Jul)",13:30,0.30%, ,0.10%,2003,7
"Jul 01, 2003 (Jun)",13:30,0.10%, ,-0.20%,2003,6
"Jun 01, 2003 (May)",13:30,-0.20%, ,-0.40%,2003,5
"May 01, 2003 (Apr)",13:30,-0.40%, ,0.20%,2003,4
"Apr 01, 2003 (Mar)",13:30,0.20%, ,0.50%,2003,3
"Mar 01, 2003 (Feb)",13:30,0.50%, ,0.40%,2003,2
"Feb 01, 2003 (Jan)",13:30,0.40%, ,0.20%,2003,1
"Jan 01, 2003 (Dec)",13:30,0.20%, ,0.20%,2002,12
"Dec 01, 2002 (Nov)",13:30,0.20%, ,0.20%,2002,11
"Nov 01, 2002 (Oct)",13:30,0.20%, ,0.20%,2002,10
"Oct 01, 2002 (Sep)",13:30,0.20%, ,0.30%,2002,9
"Sep 01, 2002 (Aug)",13:30,0.30%, ,0.20%,2002,8
"Aug 01, 2002 (Jul)",13:30,0.20%, ,0.10%,2002,7
"Jul 01, 2002 (Jun)",13:30,0.10%, ,0.10%,2002,6
"Jun 01, 2002 (May)",13:30,0.10%, ,0.40%,2002,5
"May 01, 2002 (Apr)",13:30,0.40%, ,0.30%,2002,4
"Apr 01, 2002 (Mar)",13:30,0.30%, ,0.20%,2002,3
"Mar 01, 2002 (Feb)",13:30,0.20%, ,0.20%,2002,2
"Feb 01, 2002 (Jan)",13:30,0.20%, ,-0.10%,2002,1
"Jan 01, 2002 (Dec)",13:30,-0.10%, ,-0.10%,2001,12
"Dec 01, 2001 (Nov)",13:30,-0.10%, ,-0.30%,2001,11
"Nov 01, 2001 (Oct)",13:30,-0.30%, ,0.40%,2001,10
"Oct 01, 2001 (Sep)",13:30,0.40%, ,0.00%,2001,9
"Sep 01, 2001 (Aug)",13:30,0.00%, ,-0.20%,2001,8
"Aug 01, 2001 (Jul)",13:30,-0.20%, ,0.20%,2001,7
"Jul 01, 2001 (Jun)",13:30,0.20%, ,0.50%,2001,6
"Jun 01, 2001 (May)",13:30,0.50%, ,0.20%,2001,5
"May 01, 2001 (Apr)",13:30,0.20%, ,0.10%,2001,4
"Apr 01, 2001 (Mar)",13:30,0.10%, ,0.20%,2001,3
"Mar 01, 2001 (Feb)",13:30,0.20%, ,0.60%,2001,2
"Feb 01, 2001 (Jan)",13:30,0.60%, ,0.20%,2001,1
"Jan 01, 2001 (Dec)",13:30,0.20%, ,0.20%,2000,12
"Dec 01, 2000 (Nov)",13:30,0.20%, ,0.20%,2000,11
"Nov 01, 2000 (Oct)",13:30,0.20%, ,0.50%,2000,10
"Oct 01, 2000 (Sep)",13:30,0.50%, ,0.00%,2000,9
"Sep 01, 2000 (Aug)",13:30,0.00%, ,0.30%,2000,8
"Aug 01, 2000 (Jul)",13:30,0.30%, ,0.60%,2000,7
"Jul 01, 2000 (Jun)",13:30,0.60%, ,0.20%,2000,6
"Jun 01, 2000 (May)",13:30,0.20%, ,-0.10%,2000,5
"May 01, 2000 (Apr)",13:30,-0.10%, ,0.60%,2000,4
"Apr 01, 2000 (Mar)",13:30,0.60%, ,0.40%,2000,3
"Mar 01, 2000 (Feb)",13:30,0.40%, ,0.30%,2000,2
"Feb 01, 2000 (Jan)",13:30,0.30%, ,0.20%,2000,1
"Jan 01, 2000 (Dec)",13:30,0.20%, ,0.20%,1999,12
"Dec 01, 1999 (Nov)",13:30,0.20%, ,0.20%,1999,11
"Nov 01, 1999 (Oct)",13:30,0.20%, ,0.40%,1999,10
"Oct 01, 1999 (Sep)",13:30,0.40%, ,0.20%,1999,9
"Sep 01, 1999 (Aug)",13:30,0.20%, ,0.40%,1999,8
"Aug 01, 1999 (Jul)",13:30,0.40%, ,0.00%,1999,7
"Jul 01, 1999 (Jun)",13:30,0.00%, ,0.10%,1999,6
"Jun 01, 1999 (May)",13:30,0.10%, ,0.70%,1999,5
"May 01, 1999 (Apr)",13:30,0.70%, ,0.10%,1999,4
"Apr 01, 1999 (Mar)",13:30,0.10%, ,0.00%,1999,3
"Mar 01, 1999 (Feb)",13:30,0.00%, ,0.20%,1999,2
"Feb 01, 1999 (Jan)",13:30,0.20%, ,0.20%,1999,1
"Jan 01, 1999 (Dec)",13:30,0.20%, ,0.10%,1998,12
"Dec 01, 1998 (Nov)",13:30,0.10%, ,0.20%,1998,11
"Nov 01, 1998 (Oct)",13:30,0.20%, ,0.10%,1998,10
"Oct 01, 1998 (Sep)",13:30,0.10%, ,0.10%,1998,9
"Sep 01, 1998 (Aug)",13:30,0.10%, ,0.20%,1998,8
"Aug 01, 1998 (Jul)",13:30,0.20%, ,0.10%,1998,7
"Jul 01, 1998 (Jun)",13:30,0.10%, ,0.20%,1998,6
"Jun 01, 1998 (May)",13:30,0.20%, ,0.10%,1998,5
"May 01, 1998 (Apr)",13:30,0.10%, ,0.00%,1998,4
"Apr 01, 1998 (Mar)",13:30,0.00%, ,0.00%,1998,3
"Mar 01, 1998 (Feb)",13:30,0.00%, ,0.10%,1998,2
"Feb 01, 1998 (Jan)",13:30,0.10%, ,0.10%,1998,1
"Jan 01, 1998 (Dec)",13:30,0.10%, ,0.10%,1997,12
"Dec 01, 1997 (Nov)",13:30,0.10%, ,0.20%,1997,11
"Nov 01, 1997 (Oct)",13:30,0.20%, ,0.20%,1997,10
